Pcia,Comuna,Total de viviendas particulares,Total de viviendas colectivas,Total de población,Población en viviendas particulares,Población en viviendas colectivas (1),Población en situación de calle (vía pública)
Misiones,San Pedro,12.514,17,35.088,34.967,121,
Misiones,25 de Mayo,12.289,6,30.483,30.440,43,
Neuquén,Aluminé,5.077,7,10.529,10.457,72,
Neuquén,Añelo,7.718,11,17.893,17.876,17,
Neuquén,Catán Lil,1.079,6,2.588,2.538,50,
Neuquén,Chos Malal,7.017,21,18.553,18.485,68,
Neuquén,Collón Curá,1.982,20,4.781,4.773,8,
Neuquén,Confluencia,175.795,122,481.462,479.323,2.132,7
Neuquén,Huiliches,7.558,35,20.081,19.946,135,
Neuquén,Lácar,16.532,2,39.870,39.843,27,
Neuquén,Loncopué,2.849,10,7.763,7.761,2,
Neuquén,Los Lagos,6.537,21,15.552,15.509,43,
Neuquén,Minas,4.299,45,9.299,9.206,93,
Neuquén,Ñorquín,2.772,31,5.700,5.644,56,
Neuquén,Pehuenches,12.076,23,33.545,33.513,32,
Neuquén,Picún Leufú,2.633,2,5.102,5.102,,
Neuquén,Picunches,3.415,2,8.552,8.531,21,
Neuquén,Zapala,16.346,34,45.320,45.156,164,
Río Negro,Adolfo Alsina,25.407,63,65.273,64.535,738,
Río Negro,Avellaneda,16.542,33,41.847,41.639,208,
Río Negro,Bariloche,67.598,465,164.065,163.407,658,
Río Negro,Conesa,3.041,7,7.414,7.383,31,
Río Negro,El Cuy,3.105,4,6.698,6.692,6,
Río Negro,General Roca,138.760,112,388.129,386.396,1.733,
Río Negro,9 de Julio,2.363,4,3.654,3.617,37,
Río Negro,Ñorquinco,824,1,1.480,1.468,12,
Río Negro,Pichi Mahuida,7.302,28,17.012,16.955,57,
Río Negro,Pilcaniyeu,3.917,26,9.567,9.487,80,
Río Negro,San Antonio,17.973,137,36.588,36.250,338,
Río Negro,Valcheta,1.796,3,4.493,4.474,19,
Río Negro,25 de Mayo,6.874,27,15.847,15.698,149,
Salta,Anta,21.306,70,68.543,67.306,1.237,
Salta,Cachi,3.866,15,9.039,9.013,26,
Salta,Cafayate,5.953,43,17.992,17.935,57,
Salta,Capital,207.793,287,627.107,623.220,3.670,217
Salta,Cerrillos,17.656,15,56.287,56.006,281,
Salta,Chicoana,8.031,18,24.913,24.899,14,
Salta,General Güemes,17.958,5,56.948,56.523,425,
Salta,General José de San Martín,57.795,79,178.367,177.641,726,
Salta,Guachipas,1.416,5,3.757,3.757,,
Salta,Iruya,2.751,11,5.526,5.523,3,
Salta,La Caldera,5.745,21,12.458,12.396,62,
Salta,La Candelaria,2.620,12,7.289,7.266,23,
Salta,La Poma,715,,1.799,1.799,,
Salta,La Viña,3.446,9,8.879,8.867,12,
Salta,Los Andes,2.500,9,7.912,7.237,675,
Salta,Metán,16.984,40,47.395,47.138,257,
Salta,Molinos,2.108,16,5.835,5.819,16,
Salta,Orán,51.149,77,160.314,159.323,964,27
Salta,Rivadavia,11.653,3,37.873,37.845,28,
Salta,Rosario de la Frontera,12.449,9,34.497,34.493,4,
Salta,Rosario de Lerma,17.101,9,51.183,51.092,91,
Salta,San Carlos,3.006,13,7.751,7.732,19,
Salta,Santa Victoria,4.432,,9.008,9.008,,
San Juan,Albardón,9.448,1,31.229,31.226,3,
San Juan,Angaco,3.038,3,10.149,10.145,4,
San Juan,Calingasta,4.184,82,10.985,10.612,373,
San Juan,Capital,48.382,43,113.773,113.323,430,20
San Juan,Caucete,13.110,11,44.814,44.781,33,
San Juan,Chimbas,29.151,3,105.181,103.311,1.870,
San Juan,Iglesia,3.877,55,8.763,8.737,26,
San Juan,Jáchal,9.350,41,25.462,25.435,27,
San Juan,9 de Julio,3.406,2,12.092,12.074,18,
San Juan,Pocito,20.572,3,74.478,74.443,35,
San Juan,Rawson,41.622,7,136.177,136.133,43,1
San Juan,Rivadavia,31.760,9,99.373,99.036,337,
San Juan,San Martín,4.364,,14.910,14.910,,
San Juan,Santa Lucía,19.592,6,60.919,60.887,32,
San Juan,Sarmiento,8.273,2,27.293,27.293,,
San Juan,Ullum,2.435,,6.463,6.463,,
San Juan,Valle Fértil,3.883,98,8.823,8.710,113,
San Juan,25 de Mayo,6.053,3,20.842,20.838,4,
San Juan,Zonda,2.547,18,6.508,6.499,9,
San Luis,Ayacucho,9.415,64,23.955,23.690,265,
